test1,test2,test3
0000000002,00000000000000000010,00002
0000000009,00000000000000000005,00002
0000000004,00000000000000000007,00001
0000000008,00000000000000000003,00002
0000000009,00000000000000000004,00001
0000000009,00000000000000000010,00002
0000000003,00000000000000000011,00003
0000000009,00000000000000000017,00003
0000000002,00000000000000000017,00002
0000000000,00000000000000000005,00001
0000000006,00000000000000000006,00002
0000000001,00000000000000000016,00001
0000000002,00000000000000000001,00002
0000000004,00000000000000000004,00003
0000000006,00000000000000000016,00003
0000000006,00000000000000000007,00000
0000000009,00000000000000000002,00001
0000000009,00000000000000000007,00003
0000000006,00000000000000000011,00003
0000000005,00000000000000000003,00004
0000000000,00000000000000000002,00002
0000000002,00000000000000000000,00002
0000000004,00000000000000000009,00004
0000000006,00000000000000000000,00000
0000000003,00000000000000000001,00000
0000000004,00000000000000000000,00003
0000000002,00000000000000000015,00002
0000000007,00000000000000000015,00002
0000000000,00000000000000000006,00003
0000000006,00000000000000000004,00002
0000000003,00000000000000000012,00000
0000000009,00000000000000000012,00002
0000000003,00000000000000000003,00002
0000000000,00000000000000000003,00003
0000000005,00000000000000000018,00002
0000000006,00000000000000000009,00002
0000000009,00000000000000000006,00003
0000000002,00000000000000000006,00002
0000000006,00000000000000000010,00001
0000000003,00000000000000000013,00000
0000000000,00000000000000000012,00003
0000000002,00000000000000000009,00000
0000000000,00000000000000000000,00003
0000000001,00000000000000000000,00000
0000000002,00000000000000000015,00002
0000000006,00000000000000000018,00000
0000000005,00000000000000000008,00001
0000000004,00000000000000000006,00002
0000000001,00000000000000000002,00000
0000000003,00000000000000000001,00000
0000000000,00000000000000000016,00004
0000000009,00000000000000000008,00002
0000000009,00000000000000000007,00004
0000000000,00000000000000000009,00000
0000000006,00000000000000000004,00004
0000000004,00000000000000000011,00003
0000000008,00000000000000000019,00003
0000000009,00000000000000000014,00002
0000000008,00000000000000000015,00004
0000000009,00000000000000000007,00004
0000000005,00000000000000000009,00003
0000000005,00000000000000000013,00000
0000000004,00000000000000000017,00003
0000000005,00000000000000000012,00004
0000000004,00000000000000000019,00000
0000000008,00000000000000000019,00001
0000000006,00000000000000000009,00003
0000000005,00000000000000000014,00000
0000000008,00000000000000000016,00003
0000000002,00000000000000000019,00002
0000000001,00000000000000000010,00001
0000000008,00000000000000000013,00002
0000000002,00000000000000000000,00002
0000000001,00000000000000000018,00001
0000000008,00000000000000000004,00001
0000000005,00000000000000000017,00000
0000000009,00000000000000000004,00002
0000000002,00000000000000000004,00003
0000000001,00000000000000000007,00003
0000000005,00000000000000000014,00000
0000000008,00000000000000000011,00004
0000000003,00000000000000000011,00002
0000000001,00000000000000000018,00000
0000000007,00000000000000000013,00000
0000000000,00000000000000000009,00001
0000000005,00000000000000000006,00004
0000000006,00000000000000000017,00000
0000000004,00000000000000000012,00001
0000000003,00000000000000000012,00004
0000000000,00000000000000000007,00001
0000000003,00000000000000000004,00000
0000000008,00000000000000000019,00002
0000000008,00000000000000000007,00002
0000000000,00000000000000000014,00003
0000000004,00000000000000000001,00000
0000000007,00000000000000000013,00004
0000000007,00000000000000000006,00000
0000000003,00000000000000000001,00001
0000000004,00000000000000000009,00000
0000000003,00000000000000000001,00000
0000000002,00000000000000000007,00003
0000000000,00000000000000000019,00000
0000000009,00000000000000000014,00000
0000000004,00000000000000000016,00001
0000000004,00000000000000000015,00000
0000000004,00000000000000000014,00003
0000000003,00000000000000000013,00003
0000000005,00000000000000000012,00001
0000000008,00000000000000000009,00001
0000000007,00000000000000000017,00001
0000000003,00000000000000000004,00004
0000000000,00000000000000000000,00004
0000000007,00000000000000000019,00000
0000000009,00000000000000000002,00000
0000000001,00000000000000000003,00003
0000000006,00000000000000000018,00003
0000000001,00000000000000000014,00001
0000000001,00000000000000000017,00001
0000000009,00000000000000000016,00004
0000000008,00000000000000000009,00000
0000000000,00000000000000000004,00004
0000000001,00000000000000000000,00003
0000000007,00000000000000000016,00001
0000000002,00000000000000000015,00000
0000000003,00000000000000000008,00000
0000000001,00000000000000000007,00000
0000000001,00000000000000000011,00000
0000000005,00000000000000000014,00004
0000000004,00000000000000000008,00001
0000000007,00000000000000000006,00002
0000000008,00000000000000000001,00004
0000000007,00000000000000000005,00004
0000000002,00000000000000000000,00003
0000000006,00000000000000000019,00004
0000000005,00000000000000000004,00003
0000000005,00000000000000000016,00003
0000000006,00000000000000000002,00002
0000000006,00000000000000000010,00002
0000000005,00000000000000000002,00004
0000000006,00000000000000000018,00002
0000000003,00000000000000000012,00001
0000000006,00000000000000000005,00001
0000000003,00000000000000000012,00000
0000000005,00000000000000000003,00003
0000000001,00000000000000000004,00000
0000000006,00000000000000000011,00001
0000000001,00000000000000000001,00004
0000000006,00000000000000000019,00003
0000000004,00000000000000000010,00000
0000000006,00000000000000000011,00004
0000000006,00000000000000000014,00000
0000000007,00000000000000000009,00003
0000000009,00000000000000000014,00002
0000000006,00000000000000000013,00003
0000000001,00000000000000000013,00004
0000000002,00000000000000000011,00002
0000000007,00000000000000000007,00003
0000000004,00000000000000000017,00003
0000000009,00000000000000000006,00000
0000000008,00000000000000000007,00001
0000000001,00000000000000000014,00000
0000000004,00000000000000000018,00002
0000000006,00000000000000000018,00001
0000000003,00000000000000000017,00004
0000000009,00000000000000000002,00004
0000000004,00000000000000000001,00003
0000000000,00000000000000000016,00002
0000000003,00000000000000000012,00000
0000000009,00000000000000000007,00004
0000000003,00000000000000000019,00001
0000000001,00000000000000000018,00000
0000000003,00000000000000000000,00002
0000000008,00000000000000000010,00000
0000000004,00000000000000000006,00000
0000000003,00000000000000000018,00002
0000000004,00000000000000000006,00001
0000000001,00000000000000000004,00000
0000000007,00000000000000000016,00003
0000000003,00000000000000000017,00000
0000000005,00000000000000000005,00003
0000000009,00000000000000000004,00001
0000000008,00000000000000000016,00001
0000000007,00000000000000000002,00002
0000000001,00000000000000000015,00003
0000000002,00000000000000000011,00001
0000000002,00000000000000000015,00003
0000000000,00000000000000000001,00004
0000000001,00000000000000000006,00003
0000000006,00000000000000000009,00000
0000000000,00000000000000000010,00004
0000000001,00000000000000000007,00004
0000000006,00000000000000000011,00004
0000000008,00000000000000000008,00002
0000000009,00000000000000000005,00002
0000000007,00000000000000000012,00000
0000000007,00000000000000000012,00004
0000000001,00000000000000000007,00002
0000000006,00000000000000000006,00004
0000000002,00000000000000000003,00003
0000000006,00000000000000000010,00003
0000000002,00000000000000000014,00002
0000000009,00000000000000000018,00002
0000000000,00000000000000000006,00004
0000000006,00000000000000000003,00002
0000000008,00000000000000000011,00003
0000000002,00000000000000000000,00002
0000000007,00000000000000000016,00000
0000000002,00000000000000000015,00002
0000000000,00000000000000000015,00000
0000000006,00000000000000000018,00002
0000000006,00000000000000000018,00002
0000000002,00000000000000000010,00003
0000000003,00000000000000000006,00002
0000000009,00000000000000000006,00001
0000000006,00000000000000000014,00001
0000000005,00000000000000000016,00000
0000000004,00000000000000000009,00002
0000000001,00000000000000000015,00000
0000000004,00000000000000000004,00003
0000000006,00000000000000000003,00003
0000000008,00000000000000000019,00004
0000000002,00000000000000000004,00003
0000000007,00000000000000000000,00000
0000000005,00000000000000000018,00003
0000000003,00000000000000000010,00003
0000000003,00000000000000000006,00003
0000000004,00000000000000000003,00004
0000000000,00000000000000000000,00003
0000000003,00000000000000000000,00002
0000000001,00000000000000000009,00003
0000000005,00000000000000000001,00001
0000000004,00000000000000000009,00000
0000000004,00000000000000000001,00004
0000000008,00000000000000000006,00000
0000000003,00000000000000000014,00004
0000000001,00000000000000000011,00001
0000000001,00000000000000000019,00001
0000000004,00000000000000000015,00002
0000000002,00000000000000000011,00002
0000000004,00000000000000000012,00001
0000000002,00000000000000000017,00003
0000000002,00000000000000000000,00000
0000000003,00000000000000000016,00003
0000000007,00000000000000000005,00000
0000000001,00000000000000000013,00004
0000000004,00000000000000000018,00003
0000000002,00000000000000000010,00004
0000000000,00000000000000000015,00003
0000000005,00000000000000000019,00001
